id,name,rating,reviews,address,website,phone,search_term,email
StudioDentisticoCarpenteriFrancescoDentistLargoBaconeScalaCOpenClosespmWebsiteDirectionsBOOKONLINE,Studio Dentistico Carpenteri Francesco,4.9,41,"
Largo Bacone, 16/Scala C, 00137 Roma RM, Italy",http://www.studioodontoiatrico.wordpress.com/,+390682000647,Dentists in rome,francescocarpenteri@gmail.com
GioDentalVillaBetaniaDentistViaPioIVOpenClosespmWebsiteDirections,GioDental - Villa Betania,4.6,41,"
Via Pio IV, 42, 00165 Roma RM, Italy",http://www.villabetania.giodental.it/,+390639940477,Dentists in rome,"2062d0a4929b45348643784b5cb39c36@sentry.wixpress.com,271e9fa3230b4eec94b02bf95780f5f2@sentry.wixpress.com,460ff4620fa44cba8df530afde949785@sentry.wixpress.com,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,79baaa8e09c746d2b7401643b99792e0@sentry.wixpress.com,8c4075d5481d476e945486754f783364@sentry.io,8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com,c183baa23371454f99f417f6616b724d@sentry.wixpress.com,dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress.com,ed436f5053144538958ad06a5005e99a@sentry.wixpress.com"
studiodentisticoEstheticDentalCenterDentistVialeCarmeloBeneOpenClosespmWebsiteDirections,GioDental - Villa Betania,4.6,41,"
Via Pio IV, 42, 00165 Roma RM, Italy",http://www.villabetania.giodental.it/,+390639940477,Dentists in rome,"2062d0a4929b45348643784b5cb39c36@sentry.wixpress.com,271e9fa3230b4eec94b02bf95780f5f2@sentry.wixpress.com,460ff4620fa44cba8df530afde949785@sentry.wixpress.com,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,79baaa8e09c746d2b7401643b99792e0@sentry.wixpress.com,8c4075d5481d476e945486754f783364@sentry.io,8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com,c183baa23371454f99f417f6616b724d@sentry.wixpress.com,dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress.com,ed436f5053144538958ad06a5005e99a@sentry.wixpress.com"
CentroOdontoiatricoVillaMassimoDentistViaGiovanniSeveranoOpenClosespmWebsiteDirections,Centro Odontoiatrico Villa Massimo,4.9,12,"
Via Giovanni Severano, 33, 00161 Roma RM, Italy",http://www.centrovillamassimo.it/,+39064403860,Dentists in rome,
DrDAmoreFabioStudiodentisticoCentocelleDentistViaFridianoCavaraOpenClosespmWebsiteDirectionsHeandhiscolleaguestookcareofmyteethinthebestwaypossible,Centro Odontoiatrico Villa Massimo,4.9,12,"
Via Giovanni Severano, 33, 00161 Roma RM, Italy",http://www.centrovillamassimo.it/,+39064403860,Dentists in rome,
StudioDentisticoTridentDentistViaFrancescoSatolliOpenClosespmWebsiteDirections,Studio Dentistico Trident,4.9,49,"
Via Francesco Satolli, 9, 00165 Roma RM, Italy",https://www.studiotrident.it/?utm_source=google&utm_medium=mybusiness&utm_campaign=mybusiness-link-sito_web,+393929805646,Dentists in rome,studio.trident@hotmail.it
AmbulatorioOdontoiatricoEFFECIDentistViaPoliaOpenClosespmDirections,Studio Dentistico Trident,4.9,49,"
Via Francesco Satolli, 9, 00165 Roma RM, Italy",https://www.studiotrident.it/?utm_source=google&utm_medium=mybusiness&utm_campaign=mybusiness-link-sito_web,+393929805646,Dentists in rome,studio.trident@hotmail.it
StudioDentisticoYacoubDentistaBalduinaDentistViaGiuseppeRossoClosessoonpmOpensamWedWebsiteDirections,Studio Dentistico Yacoub - Dentista Balduina,5.0,32,"
Via Giuseppe Rosso, 3, 00136 Roma RM, Italy",http://www.studioyacoub.it/,+390635451087,Dentists in rome,segreteria@studioyacoub.it
ArsDentalStudioDentisticoDentistViadiTorrevecchiaCOpenClosespmWebsiteDirections,Studio Dentistico Yacoub - Dentista Balduina,5.0,32,"
Via Giuseppe Rosso, 3, 00136 Roma RM, Italy",http://www.studioyacoub.it/,+390635451087,Dentists in rome,segreteria@studioyacoub.it
StudioOdontoiatricoGismondiDentistViadeiMontidiPrimavalleOpenClosespmWebsiteDirections,Studio Odontoiatrico Gismondi,5.0,24,"
Via dei Monti di Primavalle, 40/44, 00168 Roma RM, Italy",https://studiodentisticogismondi.it/,+390661662773,Dentists in rome,info@studiodentisticogismondi.it
ClinicaCiceroDentistPiazzaEuclideOpenClosespmWebsiteDirectionsQualityworkandfriendlystaff,Studio Odontoiatrico Gismondi,5.0,24,"
Via dei Monti di Primavalle, 40/44, 00168 Roma RM, Italy",https://studiodentisticogismondi.it/,+390661662773,Dentists in rome,info@studiodentisticogismondi.it
DentalCapriDentistPiazzaCapriaOpenClosespmWebsiteDirections,Dental Capri,5.0,4,"
Piazza Capri, 19a, 00141 Roma RM, Italy",https://www.dentalcapri.it/,+393383131047,Dentists in rome,amministrazione@dentalcapri.it
DottMarcoSquicciariniStudioDentisticoDentistViaEmiliaOpenClosespmWebsiteDirectionsIreceivedgreatexaminationcleanandcare,Dental Capri,5.0,4,"
Piazza Capri, 19a, 00141 Roma RM, Italy",https://www.dentalcapri.it/,+393383131047,Dentists in rome,amministrazione@dentalcapri.it
DottFilippoBernardiniOdontoiatraRomaDentistVialedeiQuattroVentibisOpenClosespmWebsiteDirectionsHewasverygentleconsiderateandprofessional,Dental Capri,5.0,4,"
Piazza Capri, 19a, 00141 Roma RM, Italy",https://www.dentalcapri.it/,+393383131047,Dentists in rome,amministrazione@dentalcapri.it
DentalTeamRomaDentistLargodeiColliAlbaniOpenClosespmWebsiteDirections,Dental Team Roma,5.0,6,"
Largo dei Colli Albani, 14, 00179 Roma RM, Italy",https://www.dentalteamroma.it/,+3906869551,Dentists in rome,dtr-logo-cube-full@600px.png
StudioDentisticoAngelaCaputoDentistViaBernardinoRamazziniOpenClosespmWebsiteDirections,Dental Team Roma,5.0,6,"
Largo dei Colli Albani, 14, 00179 Roma RM, Italy",https://www.dentalteamroma.it/,+3906869551,Dentists in rome,dtr-logo-cube-full@600px.png
DentistiaRomaassociatiConfaloneDentistViadeiSavorelliOpenClosespmDirections,Dentisti a Roma associati Confalone,4.4,13,"
Via dei Savorelli, 54, 00165 Roma RM, Italy",,+39066382814,Dentists in rome,
CSODentistViaMantovaOpenClosespmWebsiteDirections,Dentisti a Roma associati Confalone,4.4,13,"
Via dei Savorelli, 54, 00165 Roma RM, Italy",,+39066382814,Dentists in rome,
studiodentisticoRomanoMeiCaldoraDentistViaCiceroneOpenClosespmWebsiteDirections,studio dentistico Romano Mei Caldora,4.9,14,"
Via Cicerone, 44, 00193 Roma RM, Italy",http://www.antonioromanomeicaldora.it/,+39063216982,Dentists in rome,nome@gmail.com
DentistaRomaStudioDentisticoManciniRomaDentistViaTuscolanaOpenClosespmWebsiteDirectionsDrManciniprovidedclearassessmentsandrecommendations,studio dentistico Romano Mei Caldora,4.9,14,"
Via Cicerone, 44, 00193 Roma RM, Italy",http://www.antonioromanomeicaldora.it/,+39063216982,Dentists in rome,nome@gmail.com
StudioOdontoiatricoCosmaOlgiataDentistViaAntonGiulioBragagliapianoOpenClosespmWebsiteDirectionsEnglishspeakingwellqualifiedandcompetentdentists,studio dentistico Romano Mei Caldora,4.9,14,"
Via Cicerone, 44, 00193 Roma RM, Italy",http://www.antonioromanomeicaldora.it/,+39063216982,Dentists in rome,nome@gmail.com
StudioOdontoiatricoOrthokinesisDentistViaAppiaNuovaOpenClosespmWebsiteDirections,Studio Odontoiatrico Orthokinesis,4.7,12,"
Via Appia Nuova, 8, 00183 Roma RM, Italy",https://www.orthokinesis.it/,+390677200896,Dentists in rome,info@orthokinesis.it
ATDentalDottAlbertoPujiaDentistaRomaDentistViaGiovanniBattistaTiepoloOpenClosespmWebsiteDirections,Studio Odontoiatrico Orthokinesis,4.7,12,"
Via Appia Nuova, 8, 00183 Roma RM, Italy",https://www.orthokinesis.it/,+390677200896,Dentists in rome,info@orthokinesis.it
OdontoianDentistViaGuidodeRuggieroOpenClosespmWebsiteDirections,Odontoian,5.0,12,"
Via Guido de Ruggiero, 71, 00142 Roma RM, Italy",https://odontoian.it/,+390686676123,Dentists in rome,"odontoiann@gmail.com,roma@odontoian.it"
DentistaRomaDentistViaVecchianoOpenClosespmWebsiteDirections,Odontoian,5.0,12,"
Via Guido de Ruggiero, 71, 00142 Roma RM, Italy",https://odontoian.it/,+390686676123,Dentists in rome,"odontoiann@gmail.com,roma@odontoian.it"
AmyDentalRomaDentistViaRaffaeledeCesareOpenClosespmWebsiteDirections,Amy Dental - Roma,5.0,4,"
Via Raffaele de Cesare, 6, 00179 Roma RM, Italy",https://www.dentistaroma-appia.it/,+393339382631,Dentists in rome,dentistaromaappia@gmail.com
StudioDentisticoLuongoDentistViaFrattinaOpenClosespmWebsiteDirections,Amy Dental - Roma,5.0,4,"
Via Raffaele de Cesare, 6, 00179 Roma RM, Italy",https://www.dentistaroma-appia.it/,+393339382631,Dentists in rome,dentistaromaappia@gmail.com
OdontoiatriaLoddoDentistaCasalMonasteroStudiodentisticoCasalMonasteroDentistViaCrescenzioContediSabinaOpenClosespmWebsiteDirections,Odontoiatria Loddo | Dentista Casal Monastero | Studio dentistico Casal Monastero,5.0,15,"
Via Crescenzio Conte di Sabina, 29, 00131 Roma RM, Italy",https://www.odontoiatrialoddo.it/,+390699344353,Dentists in rome,info@odontoiatrialoddo.it
StudiodentisticoMartinezDentistViaTaroOpenClosespmWebsiteDirections,Studio dentistico Martinez,5.0,14,"
Via Taro, 25, 00199 Roma RM, Italy",https://studiomartinez.eu/,+393755071637,Dentists in rome,info@studiomartinez.eu
StudioDentisticoScottiDentistCorsodiFranciaOpenClosespmDirections,Studio dentistico Martinez,5.0,14,"
Via Taro, 25, 00199 Roma RM, Italy",https://studiomartinez.eu/,+393755071637,Dentists in rome,info@studiomartinez.eu
StudiodiOdontoiatriaMicroscopicaDottPieroPadovanDentistViaTortonaOpenClosespmWebsiteDirections,Studio di Odontoiatria Microscopica Dott. Piero Padovan,5.0,8,"
Via Tortona, 16, 00183 Roma RM, Italy",http://www.pieropadovan.com/,+390670451117,Dentists in rome,"file1094%20copia@2x.JPG,pieropadovan@gmail.com,plus-15@2x.png,plus-16@2x.png,plus-17@2x.png,plus-18@2x.png,plus@2x.png,public-11@2x.jpeg,public-14@2x.jpeg,shape_19@2x.png,shape_1@2x.png,shape_20@2x.png,shape_25@2x.png,shape_37@2x.png,shape_40@2x.png"
ApgrDentistViaFontidelClitunnoOpenClosespmWebsiteDirections,Studio di Odontoiatria Microscopica Dott. Piero Padovan,5.0,8,"
Via Tortona, 16, 00183 Roma RM, Italy",http://www.pieropadovan.com/,+390670451117,Dentists in rome,"file1094%20copia@2x.JPG,pieropadovan@gmail.com,plus-15@2x.png,plus-16@2x.png,plus-17@2x.png,plus-18@2x.png,plus@2x.png,public-11@2x.jpeg,public-14@2x.jpeg,shape_19@2x.png,shape_1@2x.png,shape_20@2x.png,shape_25@2x.png,shape_37@2x.png,shape_40@2x.png"
DottGiuseppeConcaDentistPiazzaSGiovannidiDioClosedOpensamWedWebsiteDirections,Dott Giuseppe Conca,5.0,13,"
Piazza S. Giovanni di Dio, 12, 00151 Roma RM, Italy",http://www.dottgiuseppeconca.it/,+390658200972,Dentists in rome,info@dottgiuseppeconca.it
StudioDentisticoAssociatoDrDallapiculaDrVenturiniDentistViaGaetanoSacchiOpenClosespmWebsiteDirections,Dott Giuseppe Conca,5.0,13,"
Piazza S. Giovanni di Dio, 12, 00151 Roma RM, Italy",http://www.dottgiuseppeconca.it/,+390658200972,Dentists in rome,info@dottgiuseppeconca.it
StudioOdontoiatricoGressaniDentistViaFestoAvienoClosedOpensamWedWebsiteDirections,Studio Odontoiatrico Gressani,5.0,27,"
Via Festo Avieno, 59, 00136 Roma RM, Italy",https://www.studiogressani.com/,+390664560452,Dentists in rome,"1eeb89147c984dc6bc3ffafd9e6cd089@sentry.wixpress.com,2062d0a4929b45348643784b5cb39c36@sentry.wixpress.com,271e9fa3230b4eec94b02bf95780f5f2@sentry.wixpress.com,460ff4620fa44cba8df530afde949785@sentry.wixpress.com,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,78f7996315bc402f9dcb8a2f974b82d1@sentry.wixpress.com,8c4075d5481d476e945486754f783364@sentry.io,8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com,9a65e97ebe8141fca0c4fd686f70996b@sentry.wixpress.com,c183baa23371454f99f417f6616b724d@sentry.wixpress.com,dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress.com,ed436f5053144538958ad06a5005e99a@sentry.wixpress.com,studiodrgressani@gmail.com"
DENTALCLINICDrMBadalassiDrFBadalassiDentistViaCassiaOpenClosespmWebsiteDirections,DENTAL CLINIC - Dr. M. Badalassi & Dr. F. Badalassi,4.9,7,"
Via Cassia, 1020, 00189 Roma RM, Italy",https://www.studiodentisticobadalassi.it/,+390630362932,Dentists in rome,info@studiodentisticobadalassi.it
ProgettoOdontoiatricosrlsDentistViaCasilinaOpenClosespmWebsiteDirections,DENTAL CLINIC - Dr. M. Badalassi & Dr. F. Badalassi,4.9,7,"
Via Cassia, 1020, 00189 Roma RM, Italy",https://www.studiodentisticobadalassi.it/,+390630362932,Dentists in rome,info@studiodentisticobadalassi.it
StudioOdontoiatricoJavidiFerraraMedicalgroupViadelCaliceOpenClosespmWebsiteDirections,Studio Odontoiatrico Javidi - Ferrara,5.0,10,"
Via del Calice, 51, 00178 Roma RM, Italy",https://www.studioodontoiatricojf.it/,+39067180028,Dentists in rome,studiojf@outlook.it
FrenchDentalClinicRomaDentistaDentistVialeAventinoOpenClosespmWebsiteDirections,Studio Odontoiatrico Javidi - Ferrara,5.0,10,"
Via del Calice, 51, 00178 Roma RM, Italy",https://www.studioodontoiatricojf.it/,+39067180028,Dentists in rome,studiojf@outlook.it
